SourceId,ra,dec,G
   5413759375565535104, 153.62927, -46.23447,  18.787
   5413752954590125568, 153.65174, -46.34195,  19.187
   5413768893213044864, 153.41753, -46.24069,  18.838
   5413803944443279360, 153.62939, -45.87646,  18.753
   5413796415365452032, 153.96000, -45.77501,  19.320
   5413757043405410816, 153.42753, -46.27265,  17.683
   5413768137298790528, 153.23549, -46.24377,  17.886
   5413784801772296192, 153.86482, -46.09783,  19.093
   5413786347960613376, 153.89741, -46.06827,  19.690
   5413764838765051264, 153.61736, -46.10020,  19.840
   5413749106299317248, 153.63658, -46.53332,  18.627
   5413750991789078400, 153.53202, -46.41268,  19.469
   5413788306466091008, 153.83035, -45.93212,  19.580
   5413769958365053312, 153.32532, -46.18968,  17.883
   5413775490283062400, 153.47855, -46.14257,  19.593
   5413758928888790784, 153.64033, -46.30723,  19.160
   5413821772851033088, 153.13460, -46.01341,  19.465
   5413785252745843840, 153.77832, -46.12565,  19.165
   5413765972635807232, 153.55697, -46.05342,  18.710
   5413768824493554944, 153.38614, -46.24620,  19.070
   5413759787882457728, 153.64138, -46.20685,  17.874
   5413770130163738112, 153.30769, -46.19180,  19.502
   5413761540229249920, 153.68571, -46.15497,  18.952
   5413787073812107904, 153.93897, -45.98195,  19.763
   5413758860169286400, 153.66475, -46.32367,  18.845
   5413760445013159424, 153.75837, -46.20356,  19.750
   5413759238126510208, 153.61148, -46.26826,  18.251
   5413751369746187776, 153.67140, -46.42715,  18.249
   5413763533093972224, 153.49293, -46.19275,  19.720
   5413786725917912832, 153.85479, -46.01290,  18.071
   5413759994040786560, 153.79784, -46.25144,  19.496
   5413786210521835776, 153.78425, -46.01284,  19.072
   5413810610238148864, 153.65954, -45.75182,  17.883
   5413797656611239168, 153.78459, -45.82522,  17.969
   5413760273214459776, 153.76454, -46.23603,  17.914
   5413764499462004736, 153.66018, -46.13535,  18.541
   5413764426447296640, 153.62805, -46.14631,  18.879
   5413751030451307136, 153.55432, -46.40702,  18.012
   5413752056941018880, 153.64559, -46.37301,  18.140
   5413750377616263680, 153.52355, -46.47795,  12.074
   5413751167890260736, 153.67282, -46.46348,  17.764
   5413794220637738112, 153.90229, -45.88511,  19.963
   5413786382320360960, 153.90686, -46.06571,  19.251
   5413755046239521920, 153.44562, -46.35666,  19.658
   5413775284125076352, 153.18595, -45.99631,  19.525
   5413751919502057856, 153.69693, -46.37715,  19.705
   5413767999859767040, 153.22102, -46.27848,  19.956
   5413784702995577344, 153.86531, -46.11001,  17.036
   5413787653630967040, 153.82197, -45.97163,  19.375
   5413766080009630208, 153.59656, -46.05887,  18.197
   5413751678983887616, 153.63893, -46.37836,  19.367
   5413752400539658880, 153.62476, -46.39523,  19.892
   5413765422880040576, 153.64877, -46.04002,  17.857
   5413760960415751168, 153.79829, -46.15270,  19.152
   5413758276053783680, 153.70168, -46.29505,  15.115
   5413784187599497728, 153.84742, -46.16155,  18.982
   5413758928888811648, 153.63730, -46.29460,  19.359
   5413769000594255616, 153.40726, -46.22354,  17.367
   5413822292549857280, 153.16086, -45.98293,  14.734
   5413759104989743360, 153.65855, -46.26352,  13.676
   5413762163006452096, 153.59293, -46.25751,  17.524
   5413801053930557440, 153.78745, -45.68228,  19.426
   5413761299711027456, 153.72358, -46.17516,  18.633
   5413804867861131008, 153.60541, -45.76538,  19.617
   5413783530463157888, 153.27716, -45.86538,  18.864
   5413761230991545600, 153.74027, -46.17693,  19.249
   5413784221954010624, 153.82972, -46.15563,  19.258
   5413759066327795200, 153.66564, -46.27945,  19.493
   5413758555234050560, 153.76696, -46.26813,  15.850
   5413758555234050688, 153.76805, -46.26585,  18.475
   5413784325033232768, 153.86692, -46.13161,  18.746
   5413751678983872640, 153.63936, -46.38982,  18.267
   5413751953861810688, 153.70576, -46.36783,  18.536
   5413760062760304512, 153.77006, -46.23324,  19.694
   5413758344773246976, 153.76052, -46.30282,  19.940
   5413770027084557824, 153.34441, -46.17872,  18.703
   5413785007930765696, 153.84944, -46.08485,  19.611
   5413776211837736064, 153.45497, -46.08543,  19.339
   5413751374042110080, 153.66590, -46.41884,  19.609
   5413784286376079104, 153.85835, -46.14541,  17.449
   5413756420627936512, 153.54169, -46.28107,  18.910
   5413790780367192064, 153.76669, -45.95837,  19.793
   5413756218771702144, 153.55007, -46.28371,  13.675
   5413784973571023744, 153.82728, -46.08588,  19.687
   5413760062760298624, 153.78146, -46.23646,  19.459
   5413761029128743040, 153.78905, -46.15093,  19.392
   5413760990477491712, 153.78460, -46.15668,  17.901
